date,open,high,low,close,volume,outstanding_share,turnover
1996-11-18,17.5,55.0,17.5,50.0,6278300.0,21000000.0,0.29896666666666666
1996-11-19,49.2,49.48,46.99,48.8,1109400.0,21000000.0,0.052828571428571426
1996-11-20,48.0,50.38,47.5,49.45,957300.0,21000000.0,0.045585714285714285
1996-11-21,49.5,49.99,47.9,47.95,570000.0,21000000.0,0.027142857142857142
1996-11-22,47.3,48.5,47.18,48.5,376200.0,21000000.0,0.017914285714285716
1996-11-25,48.8,49.0,47.0,48.0,413500.0,21000000.0,0.01969047619047619
1996-11-26,48.3,48.5,47.7,47.86,310100.0,21000000.0,0.014766666666666668
1996-11-27,47.6,47.7,46.51,46.9,515700.0,21000000.0,0.024557142857142857
1996-11-28,46.9,48.88,46.65,48.1,341300.0,21000000.0,0.016252380952380952
1996-11-29,47.5,48.6,47.5,47.8,115000.0,21000000.0,0.0054761904761904765
1996-12-02,47.5,48.5,47.5,47.93,231900.0,21000000.0,0.011042857142857142
1996-12-03,47.58,48.2,47.11,48.2,224300.0,21000000.0,0.010680952380952381
1996-12-04,48.5,50.0,48.0,49.31,607900.0,21000000.0,0.02894761904761905
1996-12-05,49.3,50.0,49.0,49.61,443800.0,21000000.0,0.021133333333333334
1996-12-06,49.6,49.75,49.03,49.5,432300.0,21000000.0,0.020585714285714287
1996-12-09,49.82,60.0,49.6,59.4,1343300.0,21000000.0,0.06396666666666667
1996-12-10,60.0,70.0,58.0,68.1,1986600.0,21000000.0,0.0946
1996-12-11,69.5,78.0,69.0,76.0,2278900.0,21000000.0,0.10851904761904761
1996-12-12,75.8,75.8,69.5,70.45,1208300.0,21000000.0,0.057538095238095235
1996-12-13,69.5,73.0,68.0,68.0,1008600.0,21000000.0,0.04802857142857143
1996-12-16,61.26,61.26,61.26,61.26,64700.0,21000000.0,0.003080952380952381
1996-12-17,55.13,61.1,55.13,55.13,1360300.0,21000000.0,0.06477619047619047
1996-12-18,53.0,60.64,51.0,60.64,2231500.0,21000000.0,0.10626190476190477
1996-12-19,61.5,64.2,56.1,59.96,2297900.0,21000000.0,0.10942380952380952
1996-12-23,64.81,64.9,60.0,63.4,1345700.0,21000000.0,0.06408095238095238
1996-12-24,65.0,69.47,65.0,68.8,3724200.0,21000000.0,0.17734285714285714
1996-12-25,69.81,70.99,67.0,70.61,2093200.0,21000000.0,0.09967619047619047
1996-12-26,71.0,71.8,69.35,69.5,664400.0,21000000.0,0.031638095238095236
1996-12-27,70.0,72.0,68.5,71.5,1818600.0,21000000.0,0.0866
1996-12-30,73.6,78.0,73.6,77.98,4098400.0,21000000.0,0.19516190476190476
1996-12-31,79.6,80.0,75.66,77.0,2141500.0,42000000.0,0.050988095238095235
1997-01-02,75.0,76.0,72.06,73.62,3345700.0,42000000.0,0.0796595238095238
1997-01-03,73.0,73.6,71.96,72.14,1931100.0,42000000.0,0.04597857142857143
1997-01-06,70.4,70.94,64.9,64.9,2145000.0,42000000.0,0.05107142857142857
1997-01-07,62.0,67.6,60.0,66.32,1767800.0,42000000.0,0.04209047619047619
1997-01-08,66.2,67.0,63.5,64.8,939100.0,42000000.0,0.02235952380952381
1997-01-09,64.0,65.6,64.0,64.4,571600.0,42000000.0,0.01360952380952381
1997-01-10,64.4,69.2,64.0,67.46,1651000.0,42000000.0,0.03930952380952381
1997-01-13,67.92,69.2,67.3,67.8,877100.0,42000000.0,0.020883333333333334
1997-01-14,67.6,67.72,64.9,65.6,873400.0,42000000.0,0.020795238095238096
1997-01-15,64.4,66.0,64.4,65.42,422000.0,42000000.0,0.010047619047619048
1997-01-16,65.22,66.0,65.1,65.4,398000.0,42000000.0,0.009476190476190477
1997-01-17,65.4,66.0,65.2,65.9,385400.0,42000000.0,0.009176190476190477
1997-01-20,65.84,66.8,65.0,65.84,498700.0,42000000.0,0.011873809523809524
1997-01-21,66.6,66.7,65.4,65.56,398700.0,42000000.0,0.009492857142857143
