date,open,high,low,close,volume,outstanding_share,turnover
2010-03-19,61.0,62.2,58.03,58.35,19737326.0,28000000.0,0.7049045
2010-03-22,61.1,64.19,60.26,64.19,11010362.0,28000000.0,0.3932272142857143
2010-03-23,63.0,65.66,62.52,65.1,8552214.0,28000000.0,0.30543621428571427
2010-03-24,65.18,71.49,64.64,68.69,7253024.0,28000000.0,0.25903657142857145
2010-03-25,68.68,71.6,68.02,69.78,6022514.0,28000000.0,0.21508978571428572
2010-03-26,68.9,69.6,67.0,68.5,4315433.0,28000000.0,0.15412260714285714
2010-03-29,68.71,74.49,67.01,73.56,6768558.0,28000000.0,0.2417342142857143
2010-03-30,73.0,79.8,72.55,79.0,4833058.0,28000000.0,0.1726092142857143
2010-03-31,78.88,86.9,78.0,86.72,5881164.0,28000000.0,0.21004157142857144
2010-04-01,87.1,94.0,85.3,86.59,6147886.0,28000000.0,0.21956735714285713
2010-04-02,85.2,90.58,85.18,88.49,4970156.0,28000000.0,0.17750557142857143
2010-04-06,89.5,97.34,88.51,97.34,4851636.0,28000000.0,0.17327271428571428
2010-04-07,97.32,101.98,96.0,101.9,4694537.0,28000000.0,0.1676620357142857
2010-04-08,100.0,101.3,91.71,91.71,6201852.0,28000000.0,0.2214947142857143
2010-04-09,89.98,97.8,88.0,96.96,5894276.0,28000000.0,0.21050985714285714
2010-04-12,95.02,96.0,87.95,90.85,5608177.0,28000000.0,0.20029203571428572
2010-04-13,89.66,89.66,81.77,81.77,7863741.0,28000000.0,0.28084789285714284
2010-04-14,80.41,83.19,79.01,81.61,4252674.0,28000000.0,0.15188121428571427
2010-04-15,81.3,81.3,74.81,78.2,5392971.0,28000000.0,0.19260610714285714
2010-04-16,76.75,80.45,76.72,78.18,3939987.0,28000000.0,0.14071382142857142
2010-04-19,77.48,81.07,76.0,77.0,3357242.0,28000000.0,0.1199015
2010-04-20,77.66,78.0,70.77,72.95,3617104.0,28000000.0,0.12918228571428572
2010-04-21,71.9,75.79,71.6,75.32,3463982.0,28000000.0,0.12371364285714286
2010-04-22,74.5,79.7,74.0,78.18,4057484.0,28000000.0,0.14491014285714285
2010-04-23,77.6,79.22,74.5,75.0,3069443.0,28000000.0,0.10962296428571429
2010-04-27,70.0,73.47,69.69,71.12,3350742.0,28000000.0,0.11966935714285715
2010-04-28,69.0,70.88,65.71,67.59,3072591.0,28000000.0,0.10973539285714286
2010-04-29,68.48,70.09,66.5,66.7,2079992.0,28000000.0,0.07428542857142857
2010-04-30,67.01,69.97,63.0,69.12,2672599.0,28000000.0,0.09544996428571428
2010-05-04,67.53,70.77,67.0,68.31,1910436.0,28000000.0,0.06822985714285715
2010-05-05,67.4,71.47,67.0,71.4,2323656.0,28000000.0,0.08298771428571429
2010-05-06,70.66,71.36,67.01,67.08,2527632.0,28000000.0,0.09027257142857142
2010-05-07,64.0,66.5,63.89,64.2,1811442.0,28000000.0,0.06469435714285714
2010-05-10,63.5,64.5,59.2,62.0,2253290.0,28000000.0,0.08047464285714286
2010-05-11,63.6,63.6,59.0,59.2,1731674.0,28000000.0,0.0618455
2010-05-12,58.48,61.0,57.18,60.3,2034523.0,28000000.0,0.07266153571428571
2010-05-13,60.6,60.9,57.28,60.8,2055246.0,28000000.0,0.07340164285714286
2010-05-14,60.4,62.3,59.0,61.9,1800793.0,28000000.0,0.06431403571428572
2010-05-17,60.5,61.29,57.0,57.02,1840558.0,28000000.0,0.06573421428571428
2010-05-19,57.65,62.7,57.5,60.51,3408179.0,28000000.0,0.12172067857142857
2010-05-20,59.6,62.26,59.4,59.81,2146289.0,28000000.0,0.07665317857142857
2010-05-21,57.4,65.58,57.32,65.01,3815531.0,28000000.0,0.13626896428571428
2010-05-24,65.2,68.87,64.44,67.4,3784420.0,28000000.0,0.13515785714285714
2010-05-25,66.9,67.6,65.0,66.6,2585120.0,28000000.0,0.09232571428571429
2010-05-26,66.7,67.18,64.4,64.69,1885669.0,28000000.0,0.06734532142857143
2010-05-27,64.65,67.16,62.9,66.63,2277169.0,28000000.0,0.08132746428571429
2010-05-28,67.23,67.6,65.0,65.7,1745490.0,28000000.0,0.06233892857142857
2010-05-31,65.47,66.22,62.75,62.75,1984872.0,28000000.0,0.07088828571428571
2010-06-01,61.9,62.1,57.36,59.73,2065169.0,28000000.0,0.07375603571428571
2010-06-02,59.55,61.7,58.52,61.7,1274025.0,28000000.0,0.04550089285714286
2010-06-03,61.88,63.57,60.0,60.25,1881968.0,28000000.0,0.06721314285714286
2010-06-04,59.9,62.1,59.2,61.9,1625829.0,28000000.0,0.05806532142857143
2010-06-07,60.0,66.25,59.21,65.73,3551736.0,28000000.0,0.12684771428571429
2010-06-08,65.73,65.88,63.7,64.7,2229152.0,28000000.0,0.07961257142857144
2010-06-09,64.75,68.5,64.75,65.99,3583305.0,28000000.0,0.12797517857142857
2010-06-10,65.9,68.48,65.4,68.02,2957981.0,28000000.0,0.10564217857142857
2010-06-11,69.24,73.95,68.55,70.75,4584597.0,28000000.0,0.16373560714285715
2010-06-17,71.2,71.46,64.92,65.24,3091571.0,28000000.0,0.11041325
