date,open,high,low,close,volume,outstanding_share,turnover
2018-10-16,58.56,70.27,58.56,70.27,419948.0,121600000.0,0.003453519736842105
2018-10-17,77.3,77.3,77.3,77.3,186547.0,121600000.0,0.0015341036184210526
2018-10-18,85.03,85.03,73.38,80.97,55718541.0,121600000.0,0.4582116858552632
2018-10-19,79.5,89.07,79.4,89.07,35319206.0,121600000.0,0.2904539967105263
2018-10-22,94.0,97.98,92.01,97.98,17685766.0,121600000.0,0.14544215460526316
2018-10-23,102.0,105.8,94.67,94.7,32962614.0,121600000.0,0.2710741282894737
2018-10-24,95.39,100.5,95.2,97.05,24149984.0,121600000.0,0.19860184210526316
2018-10-25,93.12,101.37,93.12,99.58,19315338.0,121600000.0,0.15884324013157894
2018-10-26,99.8,103.0,92.51,97.2,18272124.0,121600000.0,0.15026417763157895
2018-10-29,96.5,98.36,94.01,97.52,10286018.0,121600000.0,0.08458896381578947
2018-10-30,96.5,99.9,92.71,97.35,14005735.0,121600000.0,0.11517874177631579
2018-10-31,97.8,101.94,97.8,99.0,13522723.0,121600000.0,0.11120660361842105
2018-11-01,100.98,105.6,99.1,102.33,15664145.0,121600000.0,0.12881698190789473
2018-11-02,106.29,107.38,102.67,105.4,16217663.0,121600000.0,0.13336893914473685
2018-11-05,104.88,106.57,99.45,102.42,13349537.0,121600000.0,0.10978237664473685
2018-11-06,100.7,112.66,99.85,112.66,13529740.0,121600000.0,0.11126430921052631
2018-11-07,112.65,113.68,108.7,110.0,11559522.0,121600000.0,0.09506185855263158
2018-11-08,112.0,112.99,107.79,109.28,9042712.0,121600000.0,0.07436440789473685
2018-11-09,107.5,113.8,107.0,110.78,8703255.0,121600000.0,0.0715728207236842
2018-11-12,109.92,112.77,109.17,112.01,7992319.0,121600000.0,0.06572630756578947
2018-11-13,110.0,117.0,108.53,110.06,13639629.0,121600000.0,0.11216800164473684
2018-11-14,108.03,113.6,108.01,111.86,8502181.0,121600000.0,0.06991925164473685
2018-11-15,110.86,112.78,109.2,112.0,6730872.0,121600000.0,0.05535256578947369
2018-11-16,112.05,114.0,109.66,110.65,6909166.0,121600000.0,0.056818799342105264
2018-11-19,109.01,112.85,108.6,110.15,6928135.0,121600000.0,0.056974794407894734
2018-11-20,108.8,110.97,107.0,107.0,5462485.0,121600000.0,0.04492175164473684
2018-11-21,106.0,113.03,105.65,111.7,9062260.0,121600000.0,0.07452516447368421
2018-11-22,111.35,112.34,110.12,111.51,5197260.0,121600000.0,0.042740625
2018-11-23,111.8,113.6,108.0,108.3,5950853.0,121600000.0,0.04893793585526316
2018-11-26,109.1,111.29,108.3,109.59,4179317.0,121600000.0,0.03436938322368421
2018-11-27,110.66,111.0,104.5,106.56,8021725.0,121600000.0,0.06596813322368421
2018-11-28,105.8,110.0,105.2,109.61,5516545.0,121600000.0,0.0453663240131579
2018-11-29,111.0,111.97,108.8,108.83,4884839.0,121600000.0,0.040171373355263156
2018-11-30,108.8,112.6,108.5,112.5,4134650.0,121600000.0,0.03400205592105263
2018-12-03,115.5,123.66,113.34,119.5,9309546.0,121600000.0,0.07655876644736842
2018-12-04,118.8,120.87,117.6,119.06,4519096.0,121600000.0,0.03716361842105263
2018-12-05,117.0,123.11,116.66,120.68,5374878.0,121600000.0,0.04420129934210526
2018-12-06,119.89,121.11,114.0,115.33,8233814.0,121600000.0,0.06771228618421053
2018-12-07,115.88,116.25,112.7,114.14,5067642.0,121600000.0,0.0416746875
2018-12-10,112.88,116.0,112.88,115.12,2984338.0,121600000.0,0.024542253289473685
2018-12-11,115.65,116.3,112.5,113.36,4050229.0,121600000.0,0.033307804276315786
2018-12-12,113.8,114.64,113.11,113.93,2752862.0,121600000.0,0.022638667763157896
2018-12-13,113.9,116.26,113.55,116.2,2926751.0,121600000.0,0.024068675986842106
2018-12-14,116.1,116.27,107.81,107.81,7269624.0,121600000.0,0.059783092105263155
2018-12-17,106.12,107.0,101.95,106.23,4950579.0,121600000.0,0.04071199835526316
2018-12-18,104.11,106.5,103.68,105.4,3132499.0,121600000.0,0.025760682565789474
2018-12-19,105.76,106.28,97.77,98.23,7661781.0,121600000.0,0.06300806743421053
2018-12-20,98.0,101.4,97.9,100.66,4779757.0,121600000.0,0.03930721217105263
2018-12-21,99.77,100.53,98.51,99.32,3028352.0,121600000.0,0.02490421052631579
2018-12-24,99.46,104.7,99.46,103.3,3656491.0,121600000.0,0.03006982730263158
2018-12-25,102.4,106.99,102.0,105.99,4404731.0,121600000.0,0.03622311677631579
2018-12-26,105.99,109.56,105.29,107.3,3533381.0,121600000.0,0.029057409539473684
2018-12-27,108.7,109.35,106.82,107.51,4131329.0,121600000.0,0.03397474506578947
2018-12-28,107.5,109.63,106.3,109.22,3253053.0,121600000.0,0.02675208059210526
2019-01-02,106.45,106.8,99.55,103.78,5898761.0,121600000.0,0.04850954769736842
2019-01-03,103.3,105.0,99.96,101.32,3845852.0,121600000.0,0.03162707236842105
2019-01-04,100.58,102.85,99.48,101.58,4276913.0,121600000.0,0.03517198190789474
2019-01-07,101.06,103.98,100.69,101.73,4345843.0,121600000.0,0.03573884046052631
2019-01-08,101.11,101.99,97.78,99.5,5213478.0,121600000.0,0.042873996710526316
2019-01-09,99.89,105.29,99.55,102.98,5818461.0,121600000.0,0.04784918585526316
2019-01-10,104.3,105.18,102.28,103.32,4136218.0,121600000.0,0.034014950657894734
2019-01-11,102.9,105.0,102.4,104.91,2072275.0,121600000.0,0.017041735197368423
2019-01-14,104.8,104.8,102.68,104.1,1950428.0,121600000.0,0.016039703947368422
2019-01-15,103.88,106.5,103.49,104.98,2113841.0,121600000.0,0.017383560855263158
2019-01-16,104.66,106.39,103.81,105.69,2031040.0,121600000.0,0.016702631578947368
2019-01-17,105.49,106.45,104.91,105.75,1658208.0,121600000.0,0.013636578947368421
2019-01-18,105.39,109.7,105.39,109.5,3279080.0,121600000.0,0.02696611842105263
2019-01-21,110.8,114.85,110.36,111.11,4207973.0,121600000.0,0.034605041118421054
2019-01-22,111.6,112.38,107.51,108.49,2358542.0,121600000.0,0.019395904605263158
2019-01-23,108.48,110.48,108.2,110.27,1460294.0,121600000.0,0.012008996710526316
2019-01-24,109.6,110.2,106.78,108.0,2424214.0,121600000.0,0.01993597039473684
2019-01-25,108.0,109.43,106.85,106.93,3073749.0,121600000.0,0.02527754111842105
2019-01-28,107.39,108.18,106.1,106.31,1611291.0,121600000.0,0.013250748355263157
2019-01-29,106.47,106.47,102.51,103.98,3294995.0,121600000.0,0.027096998355263156
2019-01-30,103.8,106.95,103.05,106.13,2587858.0,121600000.0,0.02128172697368421
2019-01-31,107.44,108.78,104.95,106.73,3138730.0,121600000.0,0.025811924342105264
2019-02-01,107.31,111.2,106.85,110.96,3068125.0,121600000.0,0.025231291118421054
2019-02-11,111.09,112.77,109.71,112.0,3598550.0,121600000.0,0.029593338815789474
2019-02-12,111.8,114.88,111.5,113.82,3388824.0,121600000.0,0.02786861842105263
2019-02-13,112.88,114.0,111.75,113.58,3492626.0,121600000.0,0.028722253289473684
2019-02-14,113.38,116.91,112.83,115.74,3857411.0,121600000.0,0.03172212993421052
2019-02-15,115.21,115.65,112.7,113.15,2578186.0,121600000.0,0.0212021875
2019-02-18,113.18,115.75,113.18,115.06,3504403.0,121600000.0,0.028819103618421053
2019-02-19,115.58,120.3,115.48,115.86,4290221.0,121600000.0,0.03528142269736842
2019-02-20,115.61,115.95,111.53,113.0,3798315.0,121600000.0,0.031236143092105262
2019-02-21,112.99,113.74,111.32,112.2,3222334.0,121600000.0,0.026499457236842106
2019-02-22,112.0,114.6,111.5,114.17,3061310.0,121600000.0,0.025175246710526317
2019-02-25,115.03,122.9,115.03,122.85,6022200.0,121600000.0,0.04952467105263158
2019-02-26,122.49,122.5,118.65,119.2,4974801.0,121600000.0,0.04091119243421053
2019-02-27,118.4,119.3,115.04,115.73,4237863.0,121600000.0,0.034850847039473686
2019-02-28,117.25,127.3,116.68,127.3,8155407.0,121600000.0,0.0670674917763158
2019-03-01,129.0,131.0,124.81,128.39,5811638.0,121600000.0,0.047793075657894736
2019-03-04,129.71,138.8,129.71,132.55,7148453.0,121600000.0,0.058786620065789476
2019-03-05,129.8,133.62,129.2,132.6,4834055.0,121600000.0,0.03975374177631579
2019-03-06,132.7,134.02,128.45,130.85,5390518.0,121600000.0,0.044329917763157894
2019-03-07,129.18,129.22,125.38,127.3,6437702.0,121600000.0,0.052941628289473686
2019-03-08,124.0,129.32,123.0,125.81,5019720.0,121600000.0,0.04128059210526316
2019-03-11,125.34,132.5,124.0,130.67,5088250.0,121600000.0,0.04184416118421053
2019-03-12,130.99,133.0,125.49,128.24,5786816.0,121600000.0,0.04758894736842105
2019-03-13,128.51,131.45,126.5,127.28,4456034.0,121600000.0,0.03664501644736842
2019-03-14,127.26,132.0,127.0,130.45,3953903.0,121600000.0,0.03251564967105263
2019-03-15,131.2,138.88,131.2,135.3,5391508.0,121600000.0,0.04433805921052632
2019-03-18,136.5,136.52,127.0,132.0,7486044.0,121600000.0,0.061562861842105264
2019-03-19,132.33,134.9,130.61,131.2,3710423.0,121600000.0,0.030513347039473684
2019-03-20,130.01,133.5,130.0,132.13,2772843.0,121600000.0,0.02280298519736842
2019-03-21,131.9,132.0,129.77,130.21,3474266.0,121600000.0,0.02857126644736842
2019-03-22,130.88,131.3,128.9,130.4,2159911.0,121600000.0,0.017762425986842106
2019-03-25,127.79,128.45,126.71,127.45,3654420.0,121600000.0,0.03005279605263158
2019-03-26,128.22,129.96,126.79,127.98,3082674.0,121600000.0,0.0253509375
2019-03-27,128.5,130.8,127.28,128.61,2171878.0,121600000.0,0.017860838815789475
2019-03-28,127.88,132.2,127.1,130.84,2602920.0,121600000.0,0.021405592105263157
2019-03-29,130.84,134.5,130.84,134.3,3450311.0,121600000.0,0.028374268092105262
2019-04-01,135.8,139.02,133.9,135.48,4805319.0,121600000.0,0.0395174259868421
2019-04-02,135.79,136.0,133.01,133.53,3128776.0,121600000.0,0.025730065789473684
2019-04-03,133.3,133.3,130.43,132.55,3332206.0,121600000.0,0.027403009868421053
2019-04-04,131.7,133.97,130.6,131.7,2419024.0,121600000.0,0.01989328947368421
2019-04-08,132.65,132.69,128.3,128.97,3688653.0,121600000.0,0.030334317434210525
2019-04-09,128.08,130.5,128.08,130.15,2048966.0,121600000.0,0.016850049342105263
2019-04-10,130.89,132.46,128.51,130.49,3705340.0,121600000.0,0.03047154605263158
2019-04-11,130.5,130.87,128.02,128.98,2516269.0,121600000.0,0.020693001644736843
2019-04-12,128.98,130.51,128.3,129.31,1683920.0,121600000.0,0.013848026315789474
2019-04-15,129.83,130.47,125.38,125.59,3440734.0,121600000.0,0.028295509868421054
2019-04-16,125.68,126.81,123.5,126.1,2355356.0,121600000.0,0.019369703947368422
2019-04-17,126.4,128.82,126.4,127.77,1723327.0,121600000.0,0.014172097039473685
2019-04-18,127.6,128.0,126.9,127.0,912730.0,121600000.0,0.007506003289473684
2019-04-19,126.52,128.39,124.55,127.91,1812976.0,121600000.0,0.014909342105263158
2019-04-22,127.86,129.1,126.3,128.0,1361592.0,121600000.0,0.011197302631578948
2019-04-23,128.13,132.44,127.8,131.05,3417965.0,121600000.0,0.02810826480263158
2019-04-24,131.7,132.58,130.0,131.89,1858387.0,121600000.0,0.015282787828947368
2019-04-25,131.89,137.99,131.4,134.08,4265077.0,121600000.0,0.03507464638157895
2019-04-26,133.5,137.88,132.7,135.81,3094101.0,121600000.0,0.025444909539473683
2019-04-29,135.82,145.01,135.82,140.95,4673378.0,121600000.0,0.03843238486842105
2019-04-30,140.5,144.0,139.1,140.84,2503719.0,121600000.0,0.020589794407894737
2019-05-06,134.5,135.99,131.0,133.5,4618877.0,121600000.0,0.037984185855263156
2019-05-07,134.95,140.6,134.95,136.25,3607156.0,121600000.0,0.029664111842105264
