date,open,high,low,close,volume,outstanding_share,turnover
2010-09-15,35.0,40.0,35.0,39.99,31043424.0,35040000.0,0.8859424657534246
2010-09-16,39.99,42.65,39.23,40.49,17125240.0,35040000.0,0.4887340182648402
2010-09-17,41.0,41.5,37.81,38.69,11802672.0,35040000.0,0.33683424657534244
2010-09-20,38.5,40.8,37.5,37.63,8596809.0,35040000.0,0.24534272260273973
2010-09-21,36.22,36.6,33.87,35.02,9231356.0,35040000.0,0.2634519406392694
2010-09-27,35.23,36.47,34.67,36.17,5708605.0,35040000.0,0.16291680936073058
2010-09-28,35.79,36.4,34.77,34.79,4692703.0,35040000.0,0.13392417237442922
2010-09-29,34.3,36.79,33.8,36.28,5172356.0,35040000.0,0.147612899543379
2010-09-30,35.9,38.97,35.6,37.68,5189412.0,35040000.0,0.1480996575342466
2010-10-08,37.6,39.3,37.2,38.13,4922162.0,35040000.0,0.1404726598173516
2010-10-11,37.7,38.2,35.6,35.94,5620211.0,35040000.0,0.160394149543379
2010-10-12,35.5,36.49,34.69,34.95,5244866.0,35040000.0,0.1496822488584475
2010-10-13,34.65,35.31,34.5,34.99,3089697.0,35040000.0,0.08817628424657534
2010-10-14,36.08,37.99,35.6,37.01,10791278.0,35040000.0,0.3079702625570776
2010-10-15,36.1,36.29,35.0,35.05,5898197.0,35040000.0,0.1683275399543379
2010-10-18,34.73,34.75,32.24,33.85,3929061.0,35040000.0,0.11213073630136987
2010-10-19,33.12,36.5,33.12,35.65,4180691.0,35040000.0,0.11931195776255708
2010-10-20,35.0,37.0,34.65,36.58,4084616.0,35040000.0,0.11657009132420092
2010-10-21,36.66,36.98,35.63,35.98,2386292.0,35040000.0,0.0681019406392694
2010-10-22,35.8,36.78,35.65,35.9,2176566.0,35040000.0,0.0621166095890411
2010-10-25,36.45,37.88,36.45,37.35,3919360.0,35040000.0,0.11185388127853882
2010-10-26,37.3,37.37,36.02,36.28,3633322.0,35040000.0,0.10369069634703196
2010-10-27,36.38,37.9,36.02,37.08,4478958.0,35040000.0,0.12782414383561644
2010-10-28,36.84,40.79,36.73,40.79,8631854.0,35040000.0,0.24634286529680366
2010-10-29,42.01,44.58,40.99,43.7,7304875.0,35040000.0,0.2084724600456621
2010-11-01,43.07,46.5,42.99,43.8,6653710.0,35040000.0,0.18988898401826484
2010-11-02,44.15,45.0,42.28,42.65,4174482.0,35040000.0,0.1191347602739726
2010-11-03,42.05,42.88,41.51,42.5,2609172.0,35040000.0,0.07446267123287671
2010-11-04,42.1,45.2,42.1,44.52,3025554.0,35040000.0,0.08634571917808219
2010-11-05,44.3,48.6,44.3,47.45,3936883.0,35040000.0,0.11235396689497718
2010-11-08,47.7,50.0,46.0,49.5,3872939.0,35040000.0,0.11052908105022831
2010-11-09,48.7,49.2,47.5,48.1,3193279.0,35040000.0,0.09113239155251142
2010-11-10,48.0,50.08,47.55,49.79,2650874.0,35040000.0,0.07565279680365297
2010-11-11,49.0,50.98,47.03,47.12,3253324.0,35040000.0,0.09284600456621005
2010-11-12,46.8,47.8,43.1,43.18,3514216.0,35040000.0,0.10029155251141553
2010-11-15,43.31,47.0,43.31,46.69,2810695.0,35040000.0,0.08021389840182648
2010-11-16,46.47,48.58,44.78,46.0,3467777.0,35040000.0,0.09896623858447488
2010-11-17,45.18,46.84,44.0,44.5,1592721.0,35040000.0,0.04545436643835617
2010-11-18,43.99,45.78,43.8,44.53,1802429.0,35040000.0,0.05143918378995434
